Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,343,342.85714285714283,1,12.0,0,3.5
100,344,344.2307692307692,2,22.375,0,3.25
100,345,345.18518518518516,5,58.25,0,3.375
100,346,345.9259259259259,5,58.375,0,3.375
100,347,347.22222222222223,4,46.875,0,3.375
100,348,348.14814814814815,1,11.75,0,3.375
100,349,349.0740740740741,4,47.125,0,3.375
100,350,350.0,2,23.625,0,3.375
100,351,351.1111111111111,5,59.25,0,3.375
100,352,351.85185185185185,1,11.875,0,3.375
100,353,353.0864197530864,3,35.75,0,3.375
100,354,354.0740740740741,5,59.75,0,3.375
100,355,354.81481481481484,5,59.875,0,3.375
100,356,356.15384615384613,5,57.875,0,3.25
100,357,356.9230769230769,5,58.0,0,3.25
100,358,358.0,2,22.375,0,3.125
100,359,359.2307692307692,5,58.375,0,3.25
100,360,360.0,5,58.5,0,3.25
100,361,360.7692307692308,5,58.625,0,3.25
100,362,362.0,2,22.625,0,3.125
100,363,363.0769230769231,5,59.0,0,3.25
100,364,364.10256410256414,3,35.5,0,3.25
100,365,365.0,4,45.625,0,3.125
100,366,366.15384615384613,5,59.5,0,3.25
100,367,366.9230769230769,5,59.625,0,3.25
100,368,367.948717948718,3,35.875,0,3.25
100,369,369.2307692307692,1,12.0,0,3.25
100,370,370.0,2,23.125,0,3.125
100,371,371.2,5,58.0,0,3.125
100,372,372.0,1,11.625,0,3.125
100,373,373.0,4,46.625,0,3.125
100,374,374.0,2,23.375,0,3.125
100,375,375.2,5,58.625,0,3.125
100,376,376.0,1,11.75,0,3.125
100,377,377.0,4,47.125,0,3.125
100,378,378.0,2,23.625,0,3.125
100,379,379.2,5,59.25,0,3.125
100,380,380.0,1,11.875,0,3.125
100,381,381.0,4,47.625,0,3.125
100,382,382.0,2,23.875,0,3.125
100,383,383.2,5,59.875,0,3.125
100,384,384.0,1,12.0,0,3.125
100,385,385.0,5,57.75,0,3.0
100,386,386.11111111111114,3,34.75,0,3.0
100,387,386.95652173913044,1,11.125,0,2.875
100,388,388.04347826086956,4,44.625,0,2.875
100,389,389.1666666666667,5,58.375,0,3.0
100,390,390.0,5,58.5,0,3.0
100,391,390.8333333333333,5,58.625,0,3.0
100,392,392.17391304347825,5,56.375,0,2.875
100,393,393.0555555555555,3,35.375,0,3.0
100,394,394.1666666666667,5,59.125,0,3.0
100,395,395.0,5,59.25,0,3.0
100,396,395.8333333333333,1,11.875,0,3.0
100,397,397.2222222222222,3,35.75,0,3.0
100,398,397.9166666666667,2,23.875,0,3.0
100,399,399.1666666666667,5,59.875,0,3.0
100,400,400.0,1,12.0,0,3.0
100,401,401.0869565217391,4,46.125,0,2.875
100,402,402.17391304347825,2,23.125,0,2.875
100,403,402.89855072463774,3,34.75,0,2.875
100,404,403.9682539682539,6,63.625,0,2.625
100,405,405.2173913043478,5,58.25,0,2.875
100,406,406.0869565217391,5,58.375,0,2.875
100,407,407.24637681159425,3,35.125,0,2.875
100,408,407.82608695652175,5,58.625,0,2.875
100,409,409.09090909090907,1,11.25,0,2.75
100,410,410.1449275362318,3,35.375,0,2.875
100,411,410.8695652173913,2,23.625,0,2.875
100,412,412.17391304347825,5,59.25,0,2.875
100,413,413.04347826086956,1,11.875,0,2.875
100,414,414.1304347826087,4,47.625,0,2.875
100,415,415.2173913043478,2,23.875,0,2.875
100,416,415.9420289855073,3,35.875,0,2.875
100,417,417.04545454545456,4,45.875,0,2.75
100,418,418.1818181818182,1,11.5,0,2.75
100,419,419.09090909090907,5,57.625,0,2.75
100,420,420.0,5,57.75,0,2.75
100,421,421.21212121212125,3,34.75,0,2.75
100,422,421.8181818181818,5,58.0,0,2.75
100,423,422.85714285714283,5,55.5,0,2.625
100,424,424.2424242424242,3,35.0,0,2.75
100,425,425.0,2,23.375,0,2.75
100,426,426.1363636363636,4,46.875,0,2.75
100,427,426.98412698412704,3,33.625,0,2.625
100,428,428.1818181818182,5,58.875,0,2.75
100,429,429.09090909090907,5,59.0,0,2.75
100,430,430.0,5,59.125,0,2.75
100,431,430.90909090909093,5,59.25,0,2.75
100,432,431.8181818181818,1,11.875,0,2.75
100,433,432.95454545454544,4,47.625,0,2.75
100,434,434.09090909090907,2,23.875,0,2.75
100,435,435.22727272727275,4,47.875,0,2.75
100,436,436.1904761904762,5,57.25,0,2.625
100,437,437.14285714285717,5,57.375,0,2.625
100,438,438.0952380952381,1,11.5,0,2.625
100,439,439.04761904761904,5,57.625,0,2.625
100,440,440.0,5,57.75,0,2.625
100,441,440.95238095238096,5,57.875,0,2.625
100,442,441.9047619047619,5,58.0,0,2.625
100,443,442.85714285714283,1,11.625,0,2.625
100,444,444.04761904761904,4,46.625,0,2.625
100,445,445.23809523809524,2,23.375,0,2.625
100,446,446.0317460317461,3,35.125,0,2.625
100,447,447.0,5,55.875,0,2.5
100,448,448.0,5,56.0,0,2.5
100,449,449.20634920634916,3,35.375,0,2.625
100,450,450.0,2,23.625,0,2.625
