Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,604,604.2410714285714,1,42,19,7
100,605,605.2455357142857,2,84,47,7
100,606,606.2276785714286,10,424,23,7
100,607,607.2420634920635,9,382,36,7
100,608,608.2366071428571,10,425,49,7
100,609,609.2474489795919,7,298,34,7
100,610,610.2455357142857,10,427,11,7
100,611,611.2444196428571,8,342,19,7
100,612,612.2488839285714,8,342,55,7
100,613,613.2440476190477,3,128,50,7
100,614,614.248511904762,6,257,63,7
100,615,615.2455357142857,10,430,43,7
100,616,616.2450396825398,9,388,15,7
100,617,617.1428571428571,5,216,0,7
100,618,618.2291666666666,1,37,6,6
100,619,619.2471590909091,11,408,45,6
100,620,620.2473958333334,4,148,55,6
100,621,621.2425595238095,7,260,59,6
100,622,622.2470238095239,7,261,22,6
100,623,623.2481060606061,11,411,22,6
100,624,624.2476851851852,9,337,6,6
100,625,625.2367424242424,11,412,42,6
100,626,626.2442129629629,9,338,11,6
100,627,627.249053030303,11,413,63,6
100,628,628.2433712121212,11,414,41,6
100,629,629.2447916666667,10,377,35,6
100,630,630.2455357142858,7,264,45,6
100,631,631.2263257575758,11,416,39,6
100,632,632.2482638888889,6,227,39,6
100,633,633.2465277777777,3,113,63,6
100,634,634.2447916666666,2,76,7,6
100,635,635.2430555555555,3,114,22,6
100,636,636.2499999999999,5,190,56,6
100,637,637.2395833333334,1,38,15,6
100,638,638.2486979166666,8,306,23,6
100,639,639.2485119047619,7,268,31,6
100,640,640.2488425925926,9,345,47,6
100,641,641.2434895833334,8,307,51,6
100,642,642.2453703703703,9,346,52,6
100,643,643.2291666666666,1,38,38,6
100,644,644.2471590909091,11,425,13,6
100,645,645.2473958333334,4,154,55,6
100,646,646.2425595238095,7,271,27,6
100,647,647.2470238095239,7,271,54,6
100,648,648.2481060606061,11,427,54,6
100,649,649.2476851851852,9,350,38,6
100,650,650.2367424242424,11,429,10,6
100,651,651.2442129629629,9,351,43,6
100,652,652.249053030303,11,430,31,6
100,653,653.2433712121212,11,431,9,6
100,654,654.2447916666667,10,392,35,6
100,655,655.2455357142858,7,275,13,6
100,656,656.2239583333334,10,393,47,6
100,657,657.2482638888889,6,236,39,6
100,658,658.2465277777777,3,118,31,6
100,659,659.2447916666666,2,79,7,6
100,660,660.2430555555555,3,118,54,6
100,661,661.2499999999999,5,198,24,6
100,662,662.2395833333334,1,39,47,6
100,663,663.2486979166666,8,318,23,6
